baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
1150.64	0.99	0.31	3.16	0.00158	0.00533	NEK7
1201.49	1.26	0.4	3.16	0.00158	0.00533	NSA2
6108.82	1.19	0.38	3.15	0.00161	0.00542	PIK3IP1
3699.87	0.98	0.31	3.15	0.00162	0.00545	HMGN2
189.48	-1.73	0.55	-3.15	0.00163	0.00548	RPS16P5
1410.82	0.89	0.28	3.15	0.00163	0.00551	SLC9A3R1
5172.7	1.19	0.38	3.15	0.00164	0.00551	CTSD
161.69	1.57	0.5	3.15	0.00164	0.00553	HIST1H3F
11255.16	0.87	0.28	3.15	0.00165	0.00555	EIF4A2
1186.06	0.87	0.28	3.14	0.00168	0.00563	SNX6
536.88	1.2	0.38	3.14	0.00168	0.00564	GLO1
2168.27	0.89	0.28	3.14	0.0017	0.0057	EPS15
686.09	1.04	0.33	3.14	0.00171	0.00571	PSMB7
20.76	2.53	0.81	3.14	0.00171	0.00572	SNORD116-24
1169.9	1.67	0.53	3.13	0.00172	0.00577	TTC17
1856.35	1.02	0.32	3.13	0.00173	0.0058	ATP8A1
1102.47	1.2	0.38	3.13	0.00174	0.00581	COLGALT1
1332.44	0.97	0.31	3.13	0.00175	0.00585	CLINT1
1435.59	1.02	0.32	3.13	0.00176	0.00587	MORC3
426.31	1.22	0.39	3.13	0.00176	0.00587	SLC25A46
8844.18	0.78	0.25	3.13	0.00177	0.0059	CFL1
1155.93	1.37	0.44	3.13	0.00178	0.00592	NDFIP1
1052.65	0.98	0.31	3.12	0.00178	0.00594	COPG1
3289.39	1.06	0.34	3.12	0.0018	0.006	COX4I1
9674.97	-1.14	0.37	-3.12	0.0018	0.006	HIF1A
2122	0.87	0.28	3.12	0.00182	0.00605	TMEM140
1716.6	1.01	0.33	3.11	0.00185	0.00614	STK24
283.12	1.48	0.48	3.11	0.00185	0.00615	TMEM147
494.03	1.34	0.43	3.11	0.00186	0.00616	ASNSD1
7159.22	1.27	0.41	3.11	0.00188	0.00622	NAP1L1
341.94	1.22	0.39	3.11	0.00189	0.00627	TSR3
677.46	1.01	0.32	3.11	0.00189	0.00627	PRELID3B
1307.06	0.96	0.31	3.11	0.0019	0.00629	CHURC1
311.2	1.31	0.42	3.1	0.00191	0.00631	RWDD1
1061.31	1.26	0.41	3.1	0.00192	0.00633	SNHG8
5408.03	1.72	0.55	3.1	0.00192	0.00634	SAMHD1
6626.45	-1.05	0.34	-3.1	0.00192	0.00635	ADAM8
788.11	0.97	0.31	3.1	0.00193	0.00635	LIX1L
4802.7	0.98	0.32	3.1	0.00194	0.0064	PFDN5
750.94	-1.45	0.47	-3.1	0.00195	0.00642	PHF20
31513.13	1.74	0.56	3.09	0.00198	0.00651	VCAN
8331.44	-1.79	0.58	-3.09	0.00199	0.00654	FBXO7
886.85	1.28	0.41	3.09	0.00199	0.00654	H2BFS
13576.71	0.89	0.29	3.09	0.00199	0.00654	YWHAZ
1574.37	1.21	0.39	3.09	0.00199	0.00654	FXYD5
4633.83	0.88	0.28	3.09	0.00199	0.00654	EIF4H
888.73	1.11	0.36	3.09	0.002	0.00656	PSME2
2706.91	0.7	0.23	3.09	0.00203	0.00664	RFLNB
1578.37	1.12	0.36	3.09	0.00203	0.00664	MAT2A
1609.42	0.87	0.28	3.09	0.00203	0.00664	MAN2A1
1091.9	1	0.33	3.09	0.00203	0.00664	NPLOC4
1976.32	1	0.32	3.09	0.00203	0.00664	GLG1
778.39	1.09	0.35	3.08	0.00204	0.00667	TWF2
1547.42	0.97	0.32	3.08	0.00206	0.00671	SMC5
1035.41	-1.09	0.35	-3.08	0.00206	0.00671	PTP4A1
1946.33	0.81	0.26	3.08	0.00206	0.00673	SMU1
1015.6	1.36	0.44	3.08	0.00208	0.00679	PAFAH1B1
2951.64	1.47	0.48	3.08	0.00209	0.00681	CST3
680.93	1.23	0.4	3.08	0.0021	0.00683	ASB8
526.38	1.39	0.45	3.08	0.0021	0.00685	HIST1H2AI
3071.01	1.13	0.37	3.07	0.00211	0.00687	LUC7L3
682.28	0.91	0.3	3.07	0.00211	0.00688	POLR2C
5615.7	1.23	0.4	3.07	0.00212	0.00691	ARPC1B
7040.76	1.04	0.34	3.07	0.00214	0.00694	VPS13C
320.33	1.11	0.36	3.07	0.00214	0.00695	PDCD6
1907.45	0.81	0.26	3.07	0.00215	0.00698	CAB39
621.3	1.23	0.4	3.07	0.00215	0.00699	TOMM6
475.58	1.32	0.43	3.07	0.00216	0.007	ASNA1
2640.45	0.96	0.31	3.07	0.00216	0.007	G3BP2
3508.33	0.84	0.27	3.06	0.0022	0.00712	ARPC4
792.79	0.96	0.32	3.06	0.00224	0.00724	IDH2
885.87	1.15	0.38	3.06	0.00224	0.00724	HEXB
699.87	1	0.33	3.06	0.00224	0.00725	PSMB6
28905.53	1.24	0.41	3.05	0.00227	0.00735	TLN1
2149.56	0.85	0.28	3.05	0.00229	0.00739	TM9SF2
2312.26	1.07	0.35	3.05	0.00229	0.00739	TMEM50A
964.35	1.14	0.38	3.05	0.00231	0.00745	AC241585.2
1877.11	0.76	0.25	3.05	0.00231	0.00746	ABI1
409.82	1.37	0.45	3.04	0.00234	0.00754	SLX1A
1090.24	1.87	0.61	3.04	0.00234	0.00754	BEX3
272.4	1.22	0.4	3.04	0.00235	0.00756	NDUFB3
236.19	1.43	0.47	3.04	0.00238	0.00763	TSTD1
333.74	1.34	0.44	3.04	0.0024	0.00768	SMIM26
9696.93	0.73	0.24	3.03	0.00241	0.00771	JAK1
19899.52	0.76	0.25	3.03	0.00241	0.00773	MSN
2422.46	0.72	0.24	3.03	0.00244	0.0078	TAP2
1933.96	1.59	0.52	3.03	0.00247	0.00789	MS4A6A
10237.05	0.8	0.27	3.03	0.00248	0.00792	ARHGAP45
1595.6	1.21	0.4	3.03	0.00248	0.00793	YWHAE
870.86	1.55	0.51	3.03	0.00249	0.00793	RNU6-36P
2629.3	1.31	0.43	3.02	0.0025	0.00797	TMBIM1
16480.85	-0.74	0.25	-3.02	0.0025	0.00798	SMCHD1
21651.09	-1.13	0.38	-3.01	0.00258	0.00822	GLUL
2421.72	-1.11	0.37	-3.01	0.00259	0.00823	NUMB
1416.61	1.01	0.34	3.01	0.00259	0.00823	IL16
1057.48	1.21	0.4	3.01	0.0026	0.00826	HIST1H2BF
826.36	-1.58	0.52	-3.01	0.00262	0.00831	AC007032.1
2219.26	0.72	0.24	3.01	0.00265	0.0084	PARP4
952.66	0.94	0.31	3	0.00267	0.00844	TBCC
135.07	-1.73	0.58	-3	0.00267	0.00845	AP002807.1
2288.76	0.9	0.3	3	0.00269	0.00851	PSMB4
2574.37	1.05	0.35	3	0.0027	0.00853	MAN2B1
199.51	1.73	0.58	3	0.00271	0.00855	ARL15
700.48	1.24	0.41	2.99	0.00278	0.00875	PPP3CC
8737.96	0.93	0.31	2.99	0.00278	0.00877	SARAF
632.74	1.12	0.37	2.99	0.00279	0.00879	RABAC1
762.76	-1.9	0.64	-2.99	0.0028	0.0088	ALDH1A2
12732.49	0.96	0.32	2.99	0.00282	0.00886	HNRNPH1
7859.28	-2.87	0.96	-2.99	0.00283	0.00889	SLC25A39
124929.13	1.34	0.45	2.99	0.00283	0.0089	AL139099.4
126.71	1.42	0.48	2.98	0.0029	0.00908	PLGRKT
527560.19	1.54	0.52	2.97	0.00294	0.0092	RNVU1-7
4676.97	1.02	0.34	2.97	0.00294	0.0092	ITGA4
1506.24	1.05	0.35	2.97	0.00294	0.0092	TMED4
2818.64	0.87	0.29	2.97	0.00294	0.0092	AOAH
25867.9	0.97	0.33	2.97	0.00296	0.00926	MT-CO3
7516.75	0.81	0.27	2.97	0.00296	0.00926	KLF13
1328.78	0.77	0.26	2.97	0.00299	0.00934	EVI2A
234.12	1.66	0.56	2.96	0.00303	0.00944	SNRPE
827.76	1.25	0.42	2.96	0.00303	0.00945	MTND2P28
850.19	1	0.34	2.96	0.00304	0.00945	AKAP10
1367.43	0.79	0.27	2.96	0.00308	0.00956	ARF5
1724.7	0.98	0.33	2.96	0.00309	0.00959	ZFR
1013.55	1.13	0.38	2.96	0.00309	0.0096	PSIP1
69475.59	1.22	0.41	2.96	0.00309	0.0096	AHNAK
1344.29	1	0.34	2.96	0.0031	0.0096	TRIM28
908.08	1.11	0.37	2.96	0.0031	0.00962	HADHB
232.21	1.36	0.46	2.96	0.00312	0.00968	MYDGF
1795.03	0.89	0.3	2.95	0.00317	0.00983	CERK
519.7	1.18	0.4	2.95	0.00318	0.00985	FRG1HP
662.56	1.39	0.47	2.95	0.0032	0.00988	RNU4ATAC
128.48	1.58	0.54	2.95	0.00322	0.00995	SNORA60
428.13	1.36	0.46	2.95	0.00323	0.00996	SNRPB2
1510.88	-2.68	0.91	-2.94	0.00324	0.00998	AC092490.1
750.4	1.22	0.41	2.94	0.00324	0.01	VAMP7
1325.1	1.41	0.48	2.94	0.00327	0.0101	CLIC4
4164.17	-0.96	0.33	-2.94	0.00328	0.0101	SPI1
1098.76	1.04	0.35	2.94	0.00328	0.0101	LDB1
740.29	1	0.34	2.94	0.00329	0.0101	SUCLG1
209.61	1.45	0.49	2.94	0.00331	0.0101	PPIH
928.17	-1.97	0.67	-2.94	0.00331	0.0101	HPS1
2173.18	0.97	0.33	2.94	0.00331	0.0102	HECTD1
616.29	1.37	0.47	2.94	0.00331	0.0102	TRAPPC1
790.95	1.66	0.57	2.93	0.00335	0.0103	HIST1H4H
5067.81	0.77	0.26	2.93	0.00337	0.0103	SRSF3
397.52	1.37	0.47	2.93	0.00337	0.0103	ESD
3214.13	0.95	0.32	2.93	0.00338	0.0103	DHX9
4286.74	-1.69	0.58	-2.93	0.00339	0.0104	GUK1
317.49	1.17	0.4	2.93	0.00339	0.0104	DDT
557.96	1.27	0.43	2.93	0.0034	0.0104	FBL
2103.95	-1.42	0.49	-2.93	0.00341	0.0104	PXN
274.08	1.48	0.5	2.93	0.00343	0.0105	HIST1H4I
5216.56	0.63	0.22	2.92	0.00345	0.0105	ARHGAP30
1380.77	-1.51	0.52	-2.92	0.00346	0.0105	LRMP
10316.51	-1.97	0.67	-2.92	0.00346	0.0105	ACSL1
395.28	-1.72	0.59	-2.92	0.00346	0.0105	KCMF1
1192.13	1.1	0.38	2.92	0.00347	0.0106	ARFGAP2
1830.43	0.82	0.28	2.92	0.00347	0.0106	JAK2
2550.38	0.81	0.28	2.92	0.00349	0.0106	CBL
2350.57	1.09	0.37	2.92	0.0035	0.0106	TSPO
213.44	1.31	0.45	2.92	0.00351	0.0107	NDUFC2
235.24	1.33	0.46	2.92	0.00352	0.0107	MED10
1364.16	0.91	0.31	2.92	0.00352	0.0107	RBM27
260.16	1.23	0.42	2.92	0.00355	0.0108	COPS5
924.28	0.98	0.34	2.91	0.0036	0.0109	CD2BP2
6556.36	0.69	0.24	2.91	0.00363	0.011	MOB1A
716.07	1.38	0.47	2.91	0.00364	0.011	HIGD1A
42086.55	0.91	0.31	2.91	0.00365	0.011	SNORA73A
18492.81	-1.73	0.59	-2.91	0.00367	0.0111	EPB41
525.68	0.93	0.32	2.9	0.00368	0.0111	PSMB8-AS1
1892.89	1.26	0.43	2.9	0.00368	0.0111	SNORA10
222.46	1.35	0.46	2.9	0.00369	0.0112	LAMTOR2
609.85	1.21	0.42	2.9	0.0037	0.0112	C1orf43
1244.65	1.35	0.47	2.9	0.00372	0.0112	CAPG
1597.45	0.92	0.32	2.9	0.00376	0.0113	OSTF1
984.87	1.13	0.39	2.9	0.00376	0.0113	SARS
204.93	1.7	0.59	2.9	0.00377	0.0114	AC243960.1
790.61	0.95	0.33	2.89	0.0038	0.0115	DENR
2384.56	1.54	0.53	2.89	0.00381	0.0115	MARCH2
338.99	1.18	0.41	2.89	0.00382	0.0115	RAMAC
1704.47	1.3	0.45	2.89	0.00383	0.0115	SCPEP1
1092.42	1.03	0.36	2.89	0.00385	0.0116	HIST2H4A
468.27	1.54	0.53	2.89	0.00385	0.0116	FP671120.4
4871.5	0.82	0.28	2.89	0.00386	0.0116	CDC42SE2
715.94	1.33	0.46	2.89	0.0039	0.0117	VPS36
322.44	1.19	0.41	2.89	0.00391	0.0117	ATP5MD
2633.12	1.84	0.64	2.88	0.00393	0.0118	CD36
965.01	1.83	0.63	2.88	0.00396	0.0118	RC3H2
320.72	1.23	0.43	2.88	0.00398	0.0119	STARD3NL
1554.66	1.08	0.38	2.88	0.004	0.012	PLAC8
1641.86	1.15	0.4	2.88	0.00402	0.012	LGALS1
6392.23	1.16	0.4	2.88	0.00402	0.012	SNORA8
1308.65	0.94	0.33	2.88	0.00402	0.012	SERPINB9
13543.12	0.91	0.32	2.87	0.00405	0.0121	RIPOR2
1030.79	0.86	0.3	2.87	0.00406	0.0121	GLTP
469.58	1.31	0.46	2.87	0.00407	0.0121	PSMC2
599.27	1.61	0.56	2.87	0.00408	0.0122	ARL6IP4
964.73	0.95	0.33	2.86	0.00419	0.0125	PRPF6
5784.61	-0.63	0.22	-2.86	0.0042	0.0125	ADAR
430.84	1.46	0.51	2.86	0.0042	0.0125	SNORA26
2532.88	-1.95	0.68	-2.86	0.00421	0.0125	UBXN6
582.94	1.01	0.35	2.86	0.00422	0.0125	SDHD
3237	0.75	0.26	2.86	0.00422	0.0125	GLIPR1
2433.33	1.02	0.36	2.85	0.00432	0.0128	BTN3A1
343.45	1.13	0.4	2.85	0.00434	0.0128	SPAG7
362.73	1.29	0.45	2.85	0.00434	0.0128	TBCB
287.92	1.03	0.36	2.85	0.00436	0.0129	VBP1
135.22	1.56	0.55	2.85	0.0044	0.013	CAMTA1
1084.73	1.14	0.4	2.85	0.0044	0.013	PLIN2
4055.54	-1.19	0.42	-2.85	0.00441	0.013	EHD1
2352.97	1.06	0.37	2.85	0.00442	0.013	SRSF7
5854.44	0.95	0.33	2.84	0.00452	0.0133	CD69
4196.31	0.76	0.27	2.84	0.00456	0.0134	YWHAB
3461.95	0.81	0.29	2.84	0.00458	0.0135	APOL6
876.02	1.33	0.47	2.84	0.00458	0.0135	PTGER2
3961.78	0.59	0.21	2.83	0.00458	0.0135	OS9
1104.1	1.05	0.37	2.83	0.00459	0.0135	SMC3
10566.62	0.63	0.22	2.83	0.0046	0.0135	CDC42
1456.53	-1.02	0.36	-2.83	0.00462	0.0136	NFE2L2
837.6	1.13	0.4	2.83	0.00462	0.0136	WDR43
2090.26	1.05	0.37	2.83	0.00463	0.0136	PDE7A
375.47	1.24	0.44	2.83	0.00463	0.0136	STX8
6825.11	0.59	0.21	2.83	0.00467	0.0137	PTP4A2
4648.26	-1.14	0.4	-2.83	0.00467	0.0137	PDE4B
1061.97	1	0.35	2.83	0.00471	0.0138	AL390728.4
30952.74	0.9	0.32	2.82	0.00475	0.0139	SCARNA10
1022.34	0.95	0.34	2.82	0.00477	0.0139	COX6A1
92.67	1.92	0.68	2.82	0.00478	0.0139	BOLA2B
2078.58	1.22	0.43	2.82	0.00479	0.014	SNORD13
2751.04	1	0.35	2.82	0.00479	0.014	SLC25A6
6300.62	0.82	0.29	2.82	0.00481	0.014	S100A6
2234.38	-1.86	0.66	-2.82	0.00483	0.0141	PITHD1
8931.08	-1.33	0.47	-2.82	0.00485	0.0141	PELI1
1932.29	0.91	0.32	2.81	0.00489	0.0143	EMP3
799.07	1.03	0.37	2.81	0.00491	0.0143	CERKL
170.13	1.46	0.52	2.81	0.00492	0.0143	AC131392.1
156.93	1.35	0.48	2.81	0.00493	0.0143	COX17
663.87	1.11	0.39	2.81	0.00493	0.0143	HIST1H4B
2898.31	-1.4	0.5	-2.81	0.00495	0.0144	CXCR2
560.96	1.44	0.51	2.81	0.00495	0.0144	SNORA71B
865.79	1.28	0.46	2.81	0.00496	0.0144	DYNLRB1
1864.34	1.04	0.37	2.81	0.00498	0.0145	SNORA2C
1540.26	0.93	0.33	2.81	0.005	0.0145	COX6B1
1485.99	0.82	0.29	2.81	0.00501	0.0145	C6orf106
1955.47	0.62	0.22	2.81	0.00503	0.0146	ID2
688.53	1	0.36	2.8	0.00506	0.0147	BLOC1S1
2873.74	0.72	0.26	2.8	0.00509	0.0148	P4HB
777.38	1.84	0.66	2.8	0.00509	0.0148	GZMH
1242.67	1.05	0.38	2.8	0.00515	0.0149	RFX5
894.99	0.93	0.33	2.8	0.00518	0.015	SMARCD2
834.41	0.86	0.31	2.79	0.00522	0.0151	STYX
1344.14	0.87	0.31	2.79	0.00525	0.0152	USP47
1272.99	0.92	0.33	2.79	0.00526	0.0152	PLEKHF2
578.06	1.13	0.4	2.79	0.00528	0.0153	SNRPA
1129.59	0.85	0.31	2.79	0.00531	0.0153	EFR3A
369.61	1.16	0.42	2.79	0.00532	0.0154	NDUFB10
768.89	1	0.36	2.78	0.00536	0.0155	ACO2
3562.29	0.78	0.28	2.78	0.00539	0.0155	SELPLG
11929.3	0.73	0.26	2.78	0.0054	0.0155	UTRN
1575.66	1.17	0.42	2.78	0.00542	0.0156	CTNNA1
8044.12	0.85	0.3	2.78	0.00543	0.0156	MYCBP2
3742.78	0.9	0.32	2.78	0.00545	0.0157	GNS
542.76	1.22	0.44	2.78	0.00548	0.0157	SCAND1
727.24	1.12	0.4	2.78	0.00548	0.0158	CWC15
534.97	1.25	0.45	2.77	0.00555	0.0159	RNU6ATAC
4875.56	0.85	0.31	2.77	0.00559	0.016	ELF1
794.57	-1.83	0.66	-2.77	0.00559	0.016	SLED1
48212.95	0.74	0.27	2.77	0.00559	0.016	HLA-E
1272.5	1.03	0.37	2.77	0.00564	0.0161	ANAPC16
783.28	0.82	0.3	2.76	0.0057	0.0163	RNF7
4494.3	0.89	0.32	2.76	0.0057	0.0163	CYTH1
233.31	1.4	0.51	2.76	0.00571	0.0163	HIST1H2AH
1224.89	-1.18	0.43	-2.76	0.00574	0.0164	MAP3K8
1195.85	0.98	0.35	2.76	0.00577	0.0165	H2AFV
342.44	1.21	0.44	2.76	0.00579	0.0165	ZFAND2B
87222.34	1.32	0.48	2.76	0.00579	0.0165	TXNIP
231.41	1.25	0.45	2.76	0.00579	0.0165	SNORA5C
741.83	1	0.36	2.76	0.00586	0.0167	ARL5A
886.53	1.32	0.48	2.76	0.00586	0.0167	RBX1
1552.86	0.77	0.28	2.75	0.00589	0.0168	PPP2R5A
10699.7	0.79	0.29	2.75	0.0059	0.0168	CAP1
1438.05	0.79	0.29	2.75	0.006	0.0171	SAP18
2647.63	1.17	0.43	2.75	0.00602	0.0171	HK3
468.9	1.39	0.51	2.75	0.00605	0.0172	PIP4P2
4730.88	-1.12	0.41	-2.74	0.0061	0.0173	ZFP36L1
1024.06	1.36	0.5	2.74	0.00612	0.0174	LEPROTL1
629.81	1.15	0.42	2.74	0.00618	0.0175	RPF1
1727.29	0.76	0.28	2.74	0.00619	0.0175	GPBP1L1
934.34	0.98	0.36	2.74	0.00619	0.0175	LMF2
1301.17	1.04	0.38	2.74	0.00619	0.0175	PRNP
985.91	1.23	0.45	2.73	0.00631	0.0178	CYB561A3
2109.28	0.95	0.35	2.73	0.00631	0.0178	PANK3
961.43	0.82	0.3	2.73	0.00631	0.0178	AKAP8L
28759.4	-1.78	0.65	-2.73	0.00633	0.0179	UBB
1482.27	0.68	0.25	2.73	0.00636	0.0179	USP25
3559.48	-0.82	0.3	-2.72	0.00647	0.0182	PIK3R5
262.94	0.98	0.36	2.72	0.00654	0.0184	MAD2L2
4348.54	-0.71	0.26	-2.72	0.00654	0.0184	USP9X
688.46	1.08	0.4	2.72	0.00655	0.0184	KAT8
11943.3	-0.77	0.28	-2.72	0.00662	0.0186	MYO1F
1395.46	0.72	0.26	2.71	0.00666	0.0187	CDC5L
1855.4	0.75	0.28	2.71	0.00673	0.0189	PTAR1
6222.73	-0.83	0.31	-2.71	0.00674	0.0189	LYN
1503.8	-0.82	0.3	-2.71	0.00674	0.0189	CWC25
1036.55	0.82	0.3	2.71	0.00677	0.019	UBL5
8870.92	0.62	0.23	2.71	0.00681	0.0191	HNRNPC
244079.42	-0.83	0.31	-2.71	0.00682	0.0191	MALAT1
1542.11	1.15	0.42	2.7	0.00693	0.0194	RNU12
384.45	1.17	0.43	2.7	0.00695	0.0194	AC012615.1
17993.32	0.75	0.28	2.7	0.00695	0.0194	DDX17
7425.99	0.83	0.31	2.7	0.00697	0.0194	LIMD2
1464.97	0.84	0.31	2.7	0.00698	0.0195	RAC1
5195.79	-1	0.37	-2.7	0.007	0.0195	CHD1
2223.06	0.96	0.36	2.7	0.00701	0.0195	WDR82
819.24	-1.81	0.67	-2.69	0.00704	0.0196	GPATCH2L
98.03	1.39	0.52	2.69	0.0071	0.0198	ATOX1
867.38	0.71	0.26	2.69	0.00712	0.0198	PSMC1
605.14	1	0.37	2.69	0.00714	0.0199	POLDIP2
644.29	1.03	0.38	2.69	0.00716	0.0199	CCZ1
2213	-1.32	0.49	-2.69	0.00716	0.0199	TNFRSF10C
1474.31	1.24	0.46	2.69	0.00718	0.0199	CAPNS1
16354.82	0.68	0.25	2.69	0.00718	0.0199	SF3B1
1037.98	0.79	0.29	2.69	0.00718	0.0199	SP4
2638.58	0.9	0.33	2.69	0.0072	0.02	DHX15
1330.61	1.32	0.49	2.69	0.00723	0.0201	ZNF638
1242.78	0.79	0.29	2.69	0.00724	0.0201	NNT
3114.4	0.74	0.27	2.69	0.00725	0.0201	USP24
1048.69	0.85	0.32	2.69	0.00725	0.0201	UBE2D2
478.83	1.21	0.45	2.68	0.00727	0.0202	UQCR10
614.28	0.95	0.35	2.68	0.00728	0.0202	SDHB
467.19	1.05	0.39	2.68	0.0073	0.0202	ZDHHC6
1190.07	0.88	0.33	2.68	0.0073	0.0202	PSMB1
3516.91	0.82	0.31	2.68	0.00731	0.0202	PRKAR1A
689.79	1.04	0.39	2.68	0.00733	0.0203	ANP32E
1119.07	0.78	0.29	2.68	0.00734	0.0203	WBP1L
1007.22	0.99	0.37	2.68	0.00739	0.0204	C2orf68
2481.5	1.29	0.48	2.68	0.0074	0.0205	S100A12
18781.4	1.02	0.38	2.68	0.00744	0.0205	ACTG1
3017.67	1.29	0.48	2.68	0.00744	0.0205	HIST1H3H
2360.74	0.74	0.28	2.68	0.00745	0.0206	SLC38A2
1675.71	0.65	0.24	2.67	0.00751	0.0207	PSMB8
2807.7	1.31	0.49	2.67	0.00754	0.0207	RGS10
107.77	2.56	0.96	2.67	0.00755	0.0207	RNA5S1
107.77	2.56	0.96	2.67	0.00755	0.0207	RNA5S10
107.77	2.56	0.96	2.67	0.00755	0.0207	RNA5S11
107.77	2.56	0.96	2.67	0.00755	0.0207	RNA5S12
107.77	2.56	0.96	2.67	0.00755	0.0207	RNA5S13
107.77	2.56	0.96	2.67	0.00755	0.0207	RNA5S14
107.77	2.56	0.96	2.67	0.00755	0.0207	RNA5S15
107.77	2.56	0.96	2.67	0.00755	0.0207	RNA5S16
107.77	2.56	0.96	2.67	0.00755	0.0207	RNA5S17
107.77	2.56	0.96	2.67	0.00755	0.0207	RNA5S2
107.77	2.56	0.96	2.67	0.00755	0.0207	RNA5S3
107.77	2.56	0.96	2.67	0.00755	0.0207	RNA5S4
107.77	2.56	0.96	2.67	0.00755	0.0207	RNA5S5
107.77	2.56	0.96	2.67	0.00755	0.0207	RNA5S6
107.77	2.56	0.96	2.67	0.00755	0.0207	RNA5S7
107.77	2.56	0.96	2.67	0.00755	0.0207	RNA5S8
712.99	1.1	0.41	2.67	0.00756	0.0208	SNORA37
6541.01	0.61	0.23	2.67	0.0076	0.0208	SETX
615.91	1	0.38	2.67	0.0076	0.0208	TMEM9B
2116.05	0.63	0.24	2.67	0.00763	0.0209	ITGA5
4552.44	0.65	0.24	2.67	0.00764	0.0209	CNBP
421.45	-1.6	0.6	-2.67	0.00767	0.021	TMCC1-AS1
8281.89	0.59	0.22	2.66	0.00775	0.0212	CORO1A
783.71	0.9	0.34	2.66	0.00776	0.0212	REEP5
2370.87	0.71	0.27	2.66	0.00784	0.0214	CCNY
1089.41	-1.18	0.44	-2.66	0.00786	0.0215	CIR1
9932.33	-0.88	0.33	-2.66	0.00793	0.0216	TNFAIP2
40114.99	-1	0.38	-2.66	0.00793	0.0216	NFKBIA
1148.49	1.1	0.42	2.65	0.00804	0.0219	C11orf21
397.18	0.99	0.38	2.65	0.00809	0.022	SEC61B
3562.82	-0.52	0.2	-2.65	0.00816	0.0222	CD46
1315.04	-1.74	0.66	-2.64	0.00828	0.0225	CDC34
1601.95	1.25	0.47	2.64	0.00829	0.0225	GSTP1
564.4	0.85	0.32	2.64	0.00831	0.0225	CNOT11
250.18	1.11	0.42	2.64	0.00831	0.0225	NDUFS8
135.47	1.47	0.56	2.64	0.00838	0.0227	SNORA66
6679.01	0.71	0.27	2.63	0.00843	0.0228	ALDOA
4540.04	0.73	0.28	2.63	0.00846	0.0229	SYK
10268.21	-0.95	0.36	-2.63	0.00861	0.0233	XPO6
971.59	0.92	0.35	2.63	0.00864	0.0234	EPC2
654.56	1.02	0.39	2.63	0.00866	0.0234	SMS
172885.87	0.81	0.31	2.62	0.00883	0.0238	RPPH1
5956.12	1.24	0.47	2.62	0.00884	0.0239	TPM4
5155.87	0.98	0.37	2.62	0.0089	0.024	GRN
351.2	1.33	0.51	2.62	0.00891	0.024	FAM204A
991.46	0.85	0.32	2.61	0.00895	0.0241	CCAR1
20666.28	1.27	0.49	2.61	0.00901	0.0242	FCN1
384.3	1.01	0.39	2.61	0.00903	0.0243	PFDN1
2045.13	0.99	0.38	2.61	0.00909	0.0245	SH2B3
2742.55	1.01	0.39	2.61	0.00917	0.0247	SNHG1
2136.88	0.9	0.34	2.61	0.00918	0.0247	TMEM259
1745.52	0.91	0.35	2.6	0.00919	0.0247	SNORA79B
6536.65	0.64	0.25	2.6	0.0092	0.0247	PGK1
3066.71	0.79	0.3	2.6	0.00927	0.0249	MT-ND3
195.78	1.25	0.48	2.6	0.00944	0.0253	CIAO2B
1160.03	1.03	0.4	2.59	0.00946	0.0254	SRSF8
3009.16	1.3	0.5	2.59	0.0095	0.0255	TGFBI
12224.54	0.58	0.22	2.59	0.0096	0.0257	SRSF5
950.3	0.95	0.37	2.59	0.00965	0.0258	SMAD2
2016.88	0.62	0.24	2.59	0.00966	0.0259	FLII
1238.88	0.72	0.28	2.58	0.00997	0.0266	U2AF2
295.64	1.18	0.46	2.58	0.01	0.0267	RNF5
2435.67	1.08	0.42	2.58	0.01	0.0267	TPP2
3978.28	1	0.39	2.57	0.01	0.0268	DDX24
926.33	1.39	0.54	2.57	0.0101	0.027	SNORD9
518.04	0.91	0.35	2.57	0.0102	0.0271	CARS2
366.44	1.35	0.53	2.57	0.0102	0.0271	RPL22P1
2197.32	0.57	0.22	2.57	0.0102	0.0272	SHISA5
409.2	1.09	0.42	2.57	0.0102	0.0272	HIST1H3A
669.54	1	0.39	2.57	0.0103	0.0274	HIGD2A
2870.73	0.76	0.3	2.56	0.0103	0.0274	CAPZA2
360.82	1.31	0.51	2.56	0.0103	0.0275	BEX4
1069.4	0.72	0.28	2.56	0.0104	0.0276	PSMB9
1030.89	1	0.39	2.56	0.0104	0.0276	AC119396.1
9133.57	-1.06	0.41	-2.56	0.0105	0.0278	IGF2R
57.35	2.25	0.88	2.56	0.0105	0.0279	AC112491.1
2135.32	-1.04	0.41	-2.56	0.0106	0.0281	ZNF281
1370.66	-0.85	0.33	-2.55	0.0107	0.0282	ZNF267
3090.18	0.7	0.28	2.55	0.0107	0.0283	FAM53B
1325.18	0.93	0.37	2.55	0.0107	0.0283	ATP6AP2
1082.19	1	0.39	2.55	0.0107	0.0284	PCNP
568.64	0.88	0.34	2.55	0.0107	0.0285	RASA1
716.52	0.87	0.34	2.55	0.0108	0.0285	AC010186.3
962.43	0.83	0.32	2.55	0.0108	0.0286	KIAA2013
1239.59	0.78	0.3	2.55	0.0108	0.0287	PSTPIP2
